,data,value
0,2016/9/13,1323.65
1,2016/9/14,1321.75
2,2016/9/15,1310.8
3,2016/9/16,1308.35
4,2016/9/19,1314.85
5,2016/9/20,1313.8
6,2016/9/21,1326.1
7,2016/9/22,1339.1
8,2016/9/23,1338.65
9,2016/9/26,1340.5
10,2016/9/27,1327
11,2016/9/28,1322.5
12,2016/9/29,1318.1
13,2016/9/30,1322.5
14,2016/10/3,1313.3
15,2016/10/4,1283.3
16,2016/10/5,1269.4
17,2016/10/6,1254.5
18,2016/10/7,1258.75
19,2016/10/10,1259.5
20,2016/10/11,1253.45
21,2016/10/12,1256.5
22,2016/10/13,1261.05
23,2016/10/14,1251.75
24,2016/10/17,1254.8
25,2016/10/18,1258.2
26,2016/10/19,1269.05
27,2016/10/20,1271.65
28,2016/10/21,1266.05
29,2016/10/24,1265.55
30,2016/10/25,1269.4
31,2016/10/26,1270.5
32,2016/10/27,1266.25
33,2016/10/28,1273
34,2016/10/31,1272
35,2016/11/1,1288.45
36,2016/11/2,1303.75
37,2016/11/3,1301
38,2016/11/4,1302.8
39,2016/11/7,1283.05
40,2016/11/8,1282.35
41,2016/11/9,1281.4
42,2016/11/10,1267.5
43,2016/11/11,1236.45
44,2016/11/14,1213.6
45,2016/11/15,1226.95
46,2016/11/16,1229.2
47,2016/11/17,1226.75
48,2016/11/18,1211
49,2016/11/21,1214.25
50,2016/11/22,1212.25
51,2016/11/23,1185.35
52,2016/11/24,1186.1
53,2016/11/25,1187.7
54,2016/11/28,1187
55,2016/11/29,1186.55
56,2016/11/30,1178.1
57,2016/12/1,1161.85
58,2016/12/2,1173.5
59,2016/12/5,1162.2
60,2016/12/6,1172.5
61,2016/12/7,1177.65
62,2016/12/8,1171.05
63,2016/12/9,1163.6
64,2016/12/12,1156.1
65,2016/12/13,1158.55
66,2016/12/14,1162.25
67,2016/12/15,1126.95
68,2016/12/16,1131.6
69,2016/12/19,1136.25
70,2016/12/20,1125.7
71,2016/12/21,1133.65
72,2016/12/22,1131.35
73,2016/12/23,1131.35
74,2016/12/28,1134.6
75,2016/12/29,1145.9
76,2016/12/30,1145.9
77,2017/1/3,1151
78,2017/1/4,1164.25
79,2017/1/5,1176.7
80,2017/1/6,1175.85
81,2017/1/9,1178.5
82,2017/1/10,1189.5
83,2017/1/11,1178.55
84,2017/1/12,1205.05
85,2017/1/13,1190.35
86,2017/1/16,1203
87,2017/1/17,1216.05
88,2017/1/18,1214.75
89,2017/1/19,1196.05
90,2017/1/20,1200.55
91,2017/1/23,1212.85
92,2017/1/24,1216.8
93,2017/1/25,1195
94,2017/1/26,1189.7
95,2017/1/27,1184.85
96,2017/1/30,1192.8
97,2017/1/31,1212.8
98,2017/2/1,1203.65
99,2017/2/2,1221.95
100,2017/2/3,1215.2
101,2017/2/6,1226.75
102,2017/2/7,1231
103,2017/2/8,1242.1
104,2017/2/9,1236.8
105,2017/2/10,1228.3
106,2017/2/13,1222.25
107,2017/2/14,1230.75
108,2017/2/15,1224.4
109,2017/2/16,1240.55
110,2017/2/17,1241.95
111,2017/2/20,1237.3
112,2017/2/21,1233.2
113,2017/2/22,1236.65
114,2017/2/23,1247.9
115,2017/2/24,1253.65
116,2017/2/27,1257.2
117,2017/2/28,1255.6
118,2017/3/1,1240.4
119,2017/3/2,1238.1
120,2017/3/3,1226.5
121,2017/3/6,1230.95
122,2017/3/7,1216.65
123,2017/3/8,1209.2
124,2017/3/9,1206.55
125,2017/3/10,1202.65
126,2017/3/13,1204.2
127,2017/3/14,1204.6
128,2017/3/15,1198.8
129,2017/3/16,1229.35
130,2017/3/17,1229.6
131,2017/3/20,1232.4
132,2017/3/21,1241.6
133,2017/3/22,1249.05
134,2017/3/23,1247.5
135,2017/3/24,1247.5
136,2017/3/27,1257.55
137,2017/3/28,1257.25
138,2017/3/29,1251.1
139,2017/3/30,1248.8
140,2017/3/31,1244.85
141,2017/4/3,1247.25
142,2017/4/4,1257.65
143,2017/4/5,1245.8
144,2017/4/6,1252.5
145,2017/4/7,1266.45
146,2017/4/10,1250.05
147,2017/4/11,1252.9
148,2017/4/12,1274.3
149,2017/4/13,1284.15
150,2017/4/18,1278.95
151,2017/4/19,1279.05
152,2017/4/20,1282.1
153,2017/4/21,1281.85
154,2017/4/24,1269.4
155,2017/4/25,1267.8
156,2017/4/26,1261.85
157,2017/4/27,1262.8
158,2017/4/28,1266.45
159,2017/5/2,1255.45
160,2017/5/3,1250.3
161,2017/5/4,1228.45
162,2017/5/5,1228.05
163,2017/5/8,1229.8
164,2017/5/9,1220.4
